wss,attenu,genre,day,meal,fqual,squal,amb,music,guests,satisfied
16.99,1.01,Female,Sun,Dinner,4star,2star,moderate,bollywood,2,No
10.34,1.66,Male,Sun,Dinner,4star,3star,high,rock,3,No
21.01,3.5,Male,Sun,Dinner,2star,2star,high,classical,3,Yes
23.68,3.31,Male,Sun,Dinner,1star,2star,high,classical,2,No
24.59,3.61,Female,Sun,Dinner,2star,5star,moderate,bollywood,4,yes
25.29,4.71,Male,Sun,Dinner,3star,1star,high,classical,4,No
8.77,2,Male,Sun,Dinner,4star,2star,low,classical,2,No
26.88,3.12,Male,Sun,Dinner,4star,3star,high,bollywood,4,Yes
15.04,1.96,Male,Sun,Dinner,3star,4star,low,classical,2,Yes
14.78,3.23,Male,Sun,Dinner,2star,2star,high,rock,2,Yes
10.27,1.71,Male,Sun,Dinner,3star,1star,high,classical,2,No
35.26,5,Female,Sun,Dinner,4star,2star,high,classical,4,No
15.42,1.57,Male,Sun,Dinner,4star,3star,moderate,bollywood,2,No
18.43,3,Male,Sun,Dinner,4star,2star,high,classical,4,Yes
14.83,3.02,Female,Sun,Dinner,3star,1star,moderate,rock,2,No
21.58,3.92,Male,Sun,Dinner,4star,4star,low,classical,2,No
10.33,1.67,Female,Sun,Dinner,4star,3star,high,classical,3,Yes
16.29,3.71,Male,Sun,Dinner,4star,3star,low,bollywood,3,No
16.97,3.5,Female,Sun,Dinner,4star,3star,moderate,classical,3,No
20.65,3.35,Male,Sat,Dinner,3star,3star,high,classical,3,No
17.92,4.08,Male,Sat,Dinner,5star,4star,high,bollywood,2,No
20.29,2.75,Female,Sat,Dinner,2star,5star,high,rock,2,Yes
15.77,2.23,Female,Sat,Dinner,5star,3star,high,classical,2,Yes
39.42,7.58,Male,Sat,Dinner,4star,1star,high,classical,4,yes
19.82,3.18,Male,Sat,Dinner,4star,2star,high,rock,2,Yes
17.81,2.34,Male,Sat,Dinner,4star,5star,high,rock,4,No
13.37,2,Male,Sat,Dinner,2star,1star,high,rock,2,Yes
12.69,2,Male,Sat,Dinner,4star,5star,high,rock,2,No
21.7,4.3,Male,Sat,Dinner,3star,2star,moderate,bollywood,2,No
19.65,3,Female,Sat,Dinner,3star,2star,high,classical,2,No
9.55,1.45,Male,Sat,Dinner,3star,4star,high,classical,2,Yes
18.35,2.5,Male,Sat,Dinner,1star,5star,low,rock,4,No
15.06,3,Female,Sat,Dinner,4star,4star,moderate,classical,2,yes
20.69,2.45,Female,Sat,Dinner,2star,2star,moderate,classical,4,No
17.78,3.27,Male,Sat,Dinner,2star,2star,high,classical,2,No
24.06,3.6,Male,Sat,Dinner,2star,3star,moderate,bollywood,3,No
16.31,2,Male,Sat,Dinner,2star,4star,high,classical,3,Yes
16.93,3.07,Female,Sat,Dinner,4star,4star,high,classical,3,No
18.69,2.31,Male,Sat,Dinner,3star,4star,moderate,classical,3,No
31.27,5,Male,Sat,Dinner,3star,1star,high,classical,3,No
16.04,2.24,Male,Sat,Dinner,4star,3star,high,bollywood,3,yes
17.46,2.54,Male,Sun,Dinner,1star,3star,high,classical,2,No
13.94,3.06,Male,Sun,Dinner,4star,1star,high,rock,2,No
